Vocabulario;Tuplas;Etiquetas;Repeticiones;rdf:Property;rdf:rest;rdf:first;rdf:value;rdf:Seq;rdf:List;rdf:subject;rdf:object;rdf:predicate;rdf:Statement;rdf:Bag;rdf:type;rdfs:label;rdfs:comment;rdfs:subClassOf;rdfs:seeAlso;rdfs:range;rdfs:subPropertyOf;rdfs:isDefinedBy;rdfs:domain;rdfs:Class;rdfs:Datatype;rdfs:Resource;rdfs:ContainerMembershipProperty;owl:sameAs;owl:Ontology;owl:Class;owl:DatatypeProperty;owl:ObjectProperty;owl:Thing;owl:versionInfo;owl:AnnotationProperty;owl:inverseOf;owl:equivalentClass;owl:onProperty;owl:Restriction;owl:FunctionalProperty;owl:SymmetricProperty;owl:disjointWith;owl:unionOf;owl:TransitiveProperty;owl:NamedIndividual;owl:allValuesFrom;owl:equivalentProperty;owl:cardinality;owl:someValuesFrom;owl:InverseFunctionalProperty;owl:maxCardinality;owl:hasValue;owl:minCardinality;owl:intersectionOf;owl:oneOf;owl:distinctMembers;owl:AllDifferent;owl:onClass;owl:deprecated;owl:differentFrom;owl:AsymmetricProperty;owl:qualifiedCardinality;owl:minQualifiedCardinality;owl:IrreflexiveProperty;owl:complementOf;owl:annotatedTarget;owl:DeprecatedProperty;owl:DeprecatedClass;owl:AllDisjointClasses;owl:members;owl:ReflexiveProperty;owl:onDatatype;owl:withRestrictions;owl:priorVersion;owl:DataRange;owl:disjointUnionOf;owl:hasSelf;owl:onDataRange;owl:propertyDisjointWith;owl:maxQualifiedCardinality;owl:propertyChainAxiom;
ontolex;589;34;604;[0, 0, 0];[0, 8, 0];[0, 8, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 58, 0];[0, 294, 0];[0, 57, 0];[0, 15, 0];[0, 0, 0];[0, 18, 0];[0, 5, 0];[1, 28, 0];[0, 19, 0];[0, 0, 0];[0, 0, 1];[0, 0, 5];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 18];[0, 0, 4];[0, 0, 20];[0, 0, 2];[0, 1, 0];[0, 0, 2];[0, 6, 0];[0, 1, 0];[0, 6, 0];[0, 0, 6];[0, 0, 3];[0, 0, 0];[0, 0, 0];[0, 2, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 2];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 4, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 3, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 1, 0];[0, 2, 0];
ontopic;263;23;343;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 81, 0];[0, 32, 0];[0, 17, 0];[0, 26, 0];[0, 0, 0];[0, 13, 0];[0, 21, 0];[0, 0, 0];[0, 13, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 22];[0, 0, 0];[0, 0, 33];[1, 0, 0];[0, 2, 0];[0, 0, 0];[0, 9, 0];[0, 1, 0];[0, 20, 0];[0, 0, 20];[0, 0, 0];[0, 0, 3];[0, 6, 0];[0, 0, 0];[0, 0, 2];[0, 0, 0];[0, 7, 0];[0, 0, 0];[0, 1, 0];[0, 11, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
ore;78;12;87;[0, 0, 8];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 12, 0];[0, 14, 0];[0, 13, 0];[0, 2, 0];[0, 1, 0];[0, 7, 0];[0, 2, 0];[0, 12, 0];[0, 8, 0];[0, 0, 4];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 4, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
org;748;31;797;[0, 0, 36];[0, 11, 0];[0, 11, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 97, 0];[0, 189, 0];[0, 227, 0];[0, 8, 0];[0, 1, 0];[0, 30, 0];[0, 9, 0];[0, 45, 0];[0, 35, 0];[0, 0, 9];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 13];[0, 0, 2];[0, 0, 31];[0, 0, 0];[0, 1, 0];[0, 0, 1];[0, 16, 0];[0, 2, 0];[0, 1, 0];[0, 0, 1];[0, 0, 2];[0, 0, 0];[0, 10, 0];[0, 3, 0];[0, 0, 1];[0, 0, 0];[0, 1, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];
oslo;841;20;811;[0, 0, 90];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 141, 0];[0, 118, 0];[0, 123, 0];[0, 12, 0];[6, 0, 0];[0, 78, 0];[0, 21, 0];[0, 106, 0];[0, 61, 0];[0, 0, 25];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 10];[0, 0, 1];[0, 0, 11];[0, 0, 1];[0, 1, 0];[0, 0, 0];[0, 2, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 2];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
owl;450;76;940;[0, 0, 52];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 10];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 81, 0];[0, 77, 0];[0, 78, 0];[0, 25, 0];[0, 2, 0];[0, 51, 0];[0, 0, 0];[0, 80, 0];[0, 51, 0];[0, 0, 33];[0, 0, 7];[0, 0, 20];[0, 0, 0];[6, 0, 0];[5, 0, 11];[5, 0, 10];[5, 0, 2];[5, 0, 11];[4, 0, 14];[6, 1, 0];[5, 0, 5];[6, 0, 0];[6, 0, 0];[6, 0, 0];[5, 0, 14];[5, 0, 0];[5, 0, 0];[6, 0, 0];[6, 0, 0];[5, 0, 0];[5, 0, 0];[6, 0, 0];[6, 0, 0];[6, 0, 0];[6, 0, 0];[5, 0, 0];[6, 0, 0];[6, 0, 0];[6, 0, 0];[6, 0, 0];[6, 0, 0];[6, 0, 0];[5, 0, 1];[6, 0, 0];[6, 0, 0];[6, 0, 0];[5, 0, 0];[6, 0, 0];[6, 0, 0];[5, 0, 0];[6, 0, 0];[6, 0, 0];[5, 0, 0];[5, 0, 0];[5, 0, 0];[6, 0, 0];[5, 0, 0];[6, 0, 0];[6, 0, 0];[7, 0, 0];[5, 0, 0];[6, 0, 0];[6, 0, 0];[6, 0, 0];[6, 0, 0];[6, 0, 0];[6, 0, 0];
p-plan;154;18;170;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 41, 0];[0, 18, 0];[0, 3, 0];[0, 10, 0];[0, 0, 0];[0, 14, 0];[0, 1, 0];[0, 25, 0];[0, 14, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 11];[0, 0, 0];[0, 0, 14];[0, 0, 2];[0, 1, 0];[0, 0, 7];[0, 2, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 3];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 2];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
pav;344;21;359;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 63, 0];[0, 49, 0];[0, 31, 0];[0, 0, 0];[0, 63, 0];[0, 9, 0];[0, 26, 0];[0, 42, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 2, 0];[0, 0, 1];[0, 0, 0];[0, 0, 11];[0, 0, 29];[0, 0, 0];[0, 1, 0];[0, 0, 4];[0, 2, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 6];[0, 0, 0];[0, 15, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 1];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
pbo;134;20;128;[0, 0, 0];[0, 6, 0];[0, 6, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 20, 0];[0, 15, 0];[0, 14, 0];[0, 9, 0];[0, 0, 0];[0, 5, 0];[0, 6, 0];[0, 13, 0];[0, 6, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 10];[0, 0, 0];[0, 0, 8];[0, 0, 1];[0, 1, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 1, 0];[0, 0, 1];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 3, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
pc;486;22;530;[0, 0, 0];[0, 2, 0];[0, 2, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 91, 0];[0, 96, 0];[0, 96, 0];[0, 3, 0];[0, 2, 0];[0, 42, 0];[0, 19, 0];[0, 48, 0];[0, 36, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 7];[0, 0, 11];[0, 0, 31];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 2, 0];[0, 4, 0];[0, 0, 4];[0, 0, 26];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 2, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 4, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
peco;163;18;178;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 53, 0];[0, 22, 1];[0, 21, 0];[0, 7, 0];[0, 0, 0];[0, 4, 0];[0, 1, 0];[0, 14, 0];[0, 4, 0];[0, 0, 0];[0, 0, 1];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 14];[0, 0, 1];[0, 0, 8];[0, 0, 0];[0, 1, 0];[0, 0, 20];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 4];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
pmofn;236;26;274;[0, 0, 0];[0, 17, 0];[0, 17, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 53, 0];[0, 39, 0];[0, 1, 0];[0, 13, 0];[0, 0, 0];[0, 18, 0];[0, 25, 0];[0, 1, 0];[0, 19, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 11];[0, 0, 0];[0, 0, 29];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 2, 0];[0, 0, 0];[0, 6, 0];[0, 0, 6];[0, 0, 1];[0, 0, 3];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 5, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];
pmonb;150;25;174;[0, 0, 0];[0, 19, 0];[0, 19, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 58, 0];[0, 9, 0];[0, 2, 0];[0, 10, 0];[0, 0, 0];[0, 3, 0];[0, 0, 0];[0, 1, 0];[0, 2, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 9];[0, 0, 1];[0, 0, 2];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 1, 0];[0, 1, 0];[0, 3, 0];[0, 0, 3];[0, 0, 2];[0, 0, 0];[0, 1, 0];[0, 1, 0];[0, 0, 0];[0, 0, 20];[0, 2, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 2, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
pmopb;332;25;409;[0, 0, 0];[0, 50, 0];[0, 50, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 139, 0];[0, 22, 0];[0, 2, 0];[0, 16, 0];[0, 0, 0];[0, 9, 0];[0, 0, 0];[0, 1, 0];[0, 8, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 22];[0, 0, 1];[0, 0, 8];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 1, 0];[0, 1, 0];[0, 3, 0];[0, 0, 3];[0, 0, 8];[0, 0, 0];[0, 3, 0];[0, 2, 0];[0, 0, 0];[0, 0, 48];[0, 2, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 7, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
pmovn;1163;36;1334;[0, 0, 0];[0, 133, 0];[0, 133, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 388, 0];[0, 184, 0];[0, 17, 0];[0, 65, 0];[0, 0, 0];[0, 13, 0];[0, 5, 0];[0, 1, 0];[0, 13, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 52];[0, 0, 8];[0, 0, 8];[0, 0, 6];[0, 1, 0];[0, 0, 4];[0, 1, 0];[0, 5, 0];[0, 41, 0];[0, 0, 41];[0, 0, 7];[0, 0, 0];[0, 0, 0];[0, 5, 0];[0, 0, 0];[0, 0, 134];[0, 22, 0];[0, 0, 0];[0, 4, 0];[0, 8, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 3, 0];[0, 6, 0];[0, 0, 0];[0, 0, 0];[0, 3, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[1, 7, 0];[0, 0, 0];[0, 0, 0];[0, 2, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 8, 0];[0, 0, 0];[0, 3, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
pproc;1635;31;1947;[0, 0, 0];[0, 41, 0];[0, 41, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 376, 0];[0, 537, 0];[0, 169, 0];[0, 62, 0];[0, 6, 0];[0, 123, 0];[0, 34, 0];[0, 47, 0];[0, 123, 0];[0, 0, 0];[0, 0, 2];[0, 0, 0];[0, 0, 0];[0, 2, 0];[0, 0, 1];[0, 0, 97];[0, 0, 81];[0, 0, 78];[0, 0, 0];[0, 3, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 8, 0];[0, 0, 8];[0, 0, 58];[0, 0, 0];[0, 2, 0];[0, 5, 0];[0, 0, 0];[0, 0, 23];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 3, 0];[0, 0, 1];[0, 0, 0];[0, 4, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 5];[0, 5, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];
pr;64;13;59;[0, 0, 10];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 8, 0];[0, 7, 0];[0, 7, 0];[0, 1, 0];[0, 0, 0];[0, 6, 0];[0, 0, 0];[0, 7, 0];[0, 6, 0];[0, 0, 3];[0, 0, 0];[0, 0, 1];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
premis;1429;28;1565;[0, 0, 0];[0, 62, 0];[0, 62, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 303, 0];[0, 1, 0];[0, 352, 0];[0, 55, 0];[0, 40, 0];[0, 104, 0];[0, 3, 0];[0, 1, 0];[0, 106, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 63];[0, 0, 51];[0, 0, 54];[0, 0, 1];[0, 2, 0];[0, 0, 1];[0, 0, 0];[0, 0, 0];[0, 72, 0];[0, 0, 72];[0, 0, 57];[0, 0, 0];[0, 0, 0];[0, 16, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 32, 0];[0, 0, 0];[0, 0, 4];[0, 20, 0];[0, 16, 0];[0, 4, 0];[0, 10, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
